Page (album),ID,Nom,Section,Type,Groupe,Code,Drapeau
1,00,Logo Panini,Panini,Spécial,,00,https://ep01.epimg.net/estaticos/arc/2021/12/laliga-panini/images/futbolista.png
1,FWC1,Emblème officiel (1),Coupe du monde 2026,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC2,Emblème officiel (2),Coupe du monde 2026,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC3,Mascottes officielles,Coupe du monde 2026,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC4,Slogan officiel,Coupe du monde 2026,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC5,Ballon officiel,Coupe du monde 2026,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC6,Pays hôte (Canada),Pays hôtes,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC7,Pays hôte (Mexique),Pays hôtes,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
1,FWC8,Pays hôte (États-Unis),Pays hôtes,Spécial,,FWC,https://upload.wikimedia.org/wikipedia/commons/1/10/Flag_of_FIFA.svg
8,MEX1,Écusson,Mexique,Spécial,A,MEX,https://flagcdn.com/w160/mx.png
8,MEX2,Luis Malagón,Mexique,Classique,A,MEX,https://flagcdn.com/w160/mx.png
8,MEX3,Johan Vasquez,Mexique,Classique,A,MEX,https://flagcdn.com/w160/mx.png
8,MEX4,Jorge Sánchez,Mexique,Classique,A,MEX,https://flagcdn.com/w160/mx.png
8,MEX5,Cesar Montes,Mexique,Classique,A,MEX,https://flagcdn.com/w160/mx.png
8,MEX6,Jesus Gallardo,Mexique,Classique,A,MEX,https://flagcdn.com/w160/mx.png
